fecha_estandar,iva_tendencia,iva_estacional,iva_residuo,pib_tendencia,pib_estacional,pib_residuo
2004-04-01,3071960.990069762,1633777.2000630703,-535647.2035778323,9313666666.666668,-859640972.2222232,812374305.5555552
2004-05-01,3106686.729453042,1662445.4948606137,-1545692.064812656,9472800000.0,-940413194.4444455,734013194.4444455
2004-06-01,3140754.7307221666,1097396.7859525331,-531272.4898686996,9652466666.666668,-397407638.8888886,292140972.22222066
2004-07-01,3162803.576712709,48928.541928894476,-140493.55547460227,9835066666.666666,-55379861.111112036,-45286805.555553995
2004-08-01,3194925.8609022917,-1731673.04140598,1749444.1826976882,10007858333.333332,1194118750.0000002,-859177083.3333323
2004-09-01,3229919.2338873334,2010386.4330805237,-1907923.987335856,10188625000.0,1124513194.4444444,-970338194.4444444
2004-10-01,3261903.330817542,-2486405.744737287,1827339.9634177452,10377366666.666666,-61729861.111110255,-487636805.55555576
2004-11-01,3302143.2476980416,347880.96014248225,-296498.5043245239,10568766666.666666,1281836805.5555573,-1367403472.2222214
2004-12-01,3345829.8634268334,-2469701.3240494556,1554445.275796622,10763066666.666666,5458820138.888893,-3773086805.5555573
2005-01-01,3387971.4689226253,2831052.102447535,-2601904.021502159,10962200000.0,-2942724305.5555573,2258924305.5555573
2005-02-01,3432750.7911774586,-2238579.2317563733,1745818.3839709149,11169550000.0,-2441215972.2222233,1871265972.2222233
2005-03-01,3487038.2359092496,-705508.1765265567,439751.6395123061,11383183333.333334,-1360777083.333335,1219593750.000001
2005-04-01,3535311.4434741666,1633777.2000630703,-477429.0737572373,11591500000.0,-859640972.2222232,831340972.2222232
2005-05-01,3574396.5845630416,1662445.4948606137,-1569212.4980156552,11801266666.666668,-940413194.4444455,702346527.7777776
2005-06-01,3612156.4101432078,1097396.7859525331,-398384.81370574096,12038100000.0,-397407638.8888886,272907638.8888886
2005-07-01,3665501.1644182084,48928.541928894476,-236081.96686510288,12213600000.0,-55379861.111112036,-11020138.888887964
2005-08-01,3725014.6682307078,-1731673.04140598,1886949.933170272,12308933333.333334,1194118750.0000002,-596652083.3333342
2005-09-01,3774640.1404054165,2010386.4330805237,-1817340.7780919392,12408666666.666668,1124513194.4444444,-626779861.1111124
2005-10-01,3829942.2231607917,-2486405.744737287,1782553.9368704953,12512800000.0,-61729861.111110255,-187070138.88888782
2005-11-01,3892416.815255167,347880.96014248225,-471981.5515446483,12618400000.0,1281836805.5555573,-818636805.5555553
2005-12-01,3954168.0418283334,-2469701.3240494556,1437552.3909821222,12725600000.0,5458820138.888893,-2650020138.8888893
2006-01-01,4018730.676568125,2831052.102447535,-2443834.4201346594,12835466666.666666,-2942724305.5555573,1512057638.8888912
2006-02-01,4086886.622876625,-2238579.2317563733,1731177.8347587492,12949866666.666668,-2441215972.2222233,1252549305.5555553
2006-03-01,4160040.0144644585,-705508.1765265567,318265.9106630981,13067733333.333334,-1360777083.333335,767043750.000001
2006-04-01,4224885.176550374,1633777.2000630703,-391268.8704104442,13182666666.666668,-859640972.2222232,507374305.5555552
2006-05-01,4301137.02948475,1662445.4948606137,-1572296.6690953635,13298400000.0,-940413194.4444455,472413194.4444455
2006-06-01,4376267.485146375,1097396.7859525331,-404122.7247949089,13429066666.666668,-397407638.8888886,187540972.22222066
2006-07-01,4463128.774665041,48928.541928894476,-242579.50727093557,13632000000.0,-55379861.111112036,-98220138.88888797
2006-08-01,4553855.177871499,-1731673.04140598,1902722.0650924812,13900125000.0,1194118750.0000002,-773443749.9999983
2006-09-01,4612524.100361667,2010386.4330805237,-1744155.98150319,14180625000.0,1124513194.4444444,-984338194.4444425
2006-10-01,4557600.464810542,-2486405.744737287,1700110.828737746,14473500000.0,-61729861.111110255,-803770138.8888879
2006-11-01,4632408.361198875,347880.96014248225,-27143.760580356407,14770500000.0,1281836805.5555573,-1537136805.5555553
2006-12-01,4797462.362678791,-2469701.3240494556,1212559.6691026632,15072000000.0,5458820138.888893,-3294020138.8888893
2007-01-01,4843678.984353917,2831052.102447535,-1802413.3784434516,15381000000.0,-2942724305.5555573,2134524305.5555573
2007-02-01,4899504.288674833,-2238579.2317563733,1629624.4964385405,15702750000.0,-2441215972.2222233,1766665972.2222233
2007-03-01,4929060.481809124,-705508.1765265567,246235.25560443383,16034250000.0,-1360777083.333335,1265527083.333333
2007-04-01,4957925.317409458,1633777.2000630703,-3139466.076782528,16357500000.0,-859640972.2222232,896540972.2222232
